area code,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27,2022/4/3,2022/4/10,2022/4/17,2022/4/24,2022/5/1
E02000221,254,188,73,81,118,76,60,39,35,33,52,56,59,45,36,14,17,4
E02000222,138,118,88,73,92,68,45,38,29,36,62,70,74,60,30,17,14,7
E02000223,218,170,78,70,65,50,29,20,18,22,54,25,37,34,16,12,4,6
E02000224,214,105,69,73,88,61,49,30,21,43,56,71,72,37,22,13,12,4
E02000225,184,123,79,94,67,51,37,24,20,26,27,28,30,33,27,11,5,6
E02000226,189,114,78,69,61,66,48,35,37,44,53,64,71,30,29,19,21,3
E02000227,304,166,77,92,79,82,60,43,31,35,79,98,84,56,46,31,23,6
E02000228,163,80,53,82,84,76,53,38,26,42,53,88,97,43,26,18,10,8
E020002289,169,112,74,49,32,42,29,33,20,26,32,40,35,29,16,14,8,0
E02000230,253,132,97,83,100,119,64,58,33,59,76,112,84,60,38,26,24,12
E02000231,163,113,59,56,96,74,60,49,23,54,62,74,65,55,25,33,14,5
E02000232,154,63,61,71,73,58,47,26,13,25,46,65,48,31,22,9,10,8
E02000233,132,83,87,81,42,36,38,23,23,38,55,52,55,37,29,19,8,10
E02000234,224,155,89,82,119,78,60,38,38,51,58,91,106,60,37,9,12,14
E02000235,159,130,70,71,80,59,38,27,37,45,70,64,69,35,26,20,10,8
E02000236,172,147,79,81,78,66,56,66,30,39,85,95,98,67,37,19,15,5
E02000237,174,89,66,77,55,55,48,34,32,33,62,73,55,39,38,24,13,15
E02000238,203,198,121,124,120,93,44,40,20,26,46,61,47,32,21,19,15,9
E02000239,201,153,101,126,90,104,58,43,24,24,32,36,57,39,23,16,8,7
E02000240,228,221,133,145,130,75,37,30,31,31,29,36,72,37,29,23,23,0
E02000241,162,136,100,75,57,51,27,24,20,26,35,30,43,32,13,13,3,3
E02000242,128,144,61,69,61,45,30,23,15,18,32,32,26,26,25,12,9,4
E02000243,147,151,114,117,79,54,32,30,19,18,29,44,45,31,26,13,17,9
E02000244,137,135,76,81,93,54,47,17,17,26,17,28,40,47,20,11,7,5
E02000245,203,146,96,101,84,42,37,28,30,27,18,31,48,40,19,13,8,4
E02000246,177,197,108,115,105,64,33,28,15,23,18,38,53,36,22,18,11,9
E02000247,244,224,123,103,131,61,60,28,21,24,40,52,56,47,45,17,13,21
E02000248,136,151,65,98,59,57,41,29,14,24,38,38,40,34,16,8,14,13
E02000249,163,174,95,62,90,39,33,27,24,13,30,30,37,47,22,12,15,6
E02000250,102,100,51,84,101,116,55,30,26,40,44,59,71,53,22,21,8,8
E02000251,172,176,102,75,72,55,35,16,18,16,19,21,40,31,10,10,10,11
E02000252,241,244,137,114,133,97,58,61,36,42,53,69,67,46,33,13,25,9
E02000253,186,186,106,91,90,59,59,33,38,36,58,53,54,60,18,9,17,10
E02000254,135,240,136,110,96,65,26,21,12,22,27,28,32,32,19,14,13,6
E02000255,160,183,123,126,136,124,88,53,36,48,70,76,62,54,38,20,16,8
E02000256,169,168,100,93,98,97,62,66,40,45,70,58,84,59,38,26,12,10
E02000257,233,242,170,172,166,160,120,78,67,83,125,136,97,129,50,39,17,25
E02000258,160,98,103,85,80,69,47,29,21,29,58,53,56,28,27,10,14,4
E02000259,125,95,83,75,89,79,49,38,20,30,48,52,51,29,15,13,10,8
E02000260,217,197,138,92,87,49,33,24,17,21,25,22,17,21,18,17,10,8
E02000261,275,236,133,149,120,87,74,49,41,51,54,71,85,46,23,20,18,7
E02000262,184,178,68,108,94,63,49,26,38,31,43,64,72,54,24,24,7,12
E02000263,271,341,212,157,96,74,47,18,27,36,23,35,39,20,20,15,17,5
E02000264,165,144,90,86,88,98,70,47,28,46,44,56,60,52,31,30,19,13
E02000265,228,188,147,127,107,99,79,57,47,54,64,76,71,51,43,20,16,10
E02000266,330,294,141,141,133,83,53,44,24,30,41,40,63,50,33,18,13,8
E02000267,165,153,102,64,103,80,60,41,30,36,63,53,61,51,29,22,16,6
E02000268,171,162,89,115,110,85,63,56,47,39,79,81,82,67,36,22,18,14
E02000269,143,125,94,121,118,78,72,60,32,55,69,70,79,57,36,26,16,13
E02000270,195,152,113,122,79,80,46,56,43,42,58,69,72,62,27,24,17,5
E02000271,97,79,78,95,95,79,72,30,24,33,58,67,73,38,17,26,16,6
E02000272,163,88,69,70,81,76,56,41,30,35,57,65,56,31,22,19,14,10
E02000274,325,398,269,198,113,81,54,32,22,20,41,33,51,41,23,9,13,11
E02000275,197,205,137,86,57,36,23,20,25,17,19,36,24,18,14,11,12,5
